       Time      	Temperature
03/06/21 16:20:46	30.3 oC
03/06/21 16:20:46	30.5 oC
03/06/21 16:20:46	30.5 oC
03/06/21 16:20:46	29.9 oC
03/06/21 16:20:47	29.8 oC
03/06/21 16:20:47	30.7 oC
03/06/21 16:20:47	30.3 oC
03/06/21 16:20:47	30.9 oC
03/06/21 16:20:47	30.9 oC
03/06/21 16:20:47	30.5 oC
03/06/21 16:20:47	30.4 oC
03/06/21 16:20:47	31.2 oC
03/06/21 16:20:48	29.9 oC
03/06/21 16:20:48	31.2 oC
03/06/21 16:20:48	30.8 oC
03/06/21 16:20:48	30.1 oC
03/06/21 16:20:48	30.6 oC
03/06/21 16:20:48	30.0 oC
03/06/21 16:20:48	30.5 oC
03/06/21 16:20:48	30.5 oC
03/06/21 16:20:49	30.0 oC
03/06/21 16:20:49	30.1 oC
03/06/21 16:20:49	30.0 oC
03/06/21 16:20:49	31.0 oC
03/06/21 16:20:49	30.5 oC
03/06/21 16:20:49	30.8 oC
03/06/21 16:20:49	30.7 oC
03/06/21 16:20:49	29.7 oC
03/06/21 16:20:50	31.4 oC
03/06/21 16:20:50	30.6 oC
03/06/21 16:20:50	30.6 oC
03/06/21 16:20:50	30.3 oC
03/06/21 16:20:50	31.5 oC
03/06/21 16:20:50	30.3 oC
03/06/21 16:20:50	30.0 oC
03/06/21 16:20:50	30.8 oC
03/06/21 16:20:51	30.5 oC
03/06/21 16:20:51	29.4 oC
03/06/21 16:20:51	30.5 oC
03/06/21 16:20:51	30.9 oC
03/06/21 16:20:51	30.2 oC
03/06/21 16:20:51	29.6 oC
03/06/21 16:20:51	29.9 oC
03/06/21 16:20:51	31.2 oC
03/06/21 16:20:52	30.3 oC
03/06/21 16:20:52	30.6 oC
03/06/21 16:20:52	31.5 oC
03/06/21 16:20:52	31.2 oC
03/06/21 16:20:52	30.9 oC
03/06/21 16:20:52	29.9 oC
03/06/21 16:20:53	31.0 oC
03/06/21 16:20:53	30.7 oC
03/06/21 16:20:54	30.6 oC
03/06/21 16:20:54	30.9 oC
03/06/21 16:20:54	30.4 oC
03/06/21 16:20:54	31.0 oC
03/06/21 16:20:54	30.8 oC
03/06/21 16:20:54	30.7 oC
03/06/21 16:20:54	30.2 oC
03/06/21 16:20:54	30.1 oC
03/06/21 16:20:55	31.1 oC
03/06/21 16:20:55	30.6 oC
03/06/21 16:20:55	31.1 oC
03/06/21 16:20:55	30.3 oC
03/06/21 16:20:55	31.5 oC
03/06/21 16:20:55	31.0 oC
03/06/21 16:20:55	30.4 oC
03/06/21 16:20:55	30.1 oC
03/06/21 16:20:56	31.0 oC
03/06/21 16:20:56	29.7 oC
03/06/21 16:20:56	31.3 oC
03/06/21 16:20:56	30.8 oC
03/06/21 16:20:56	31.0 oC
03/06/21 16:20:56	31.0 oC
03/06/21 16:20:56	30.7 oC
03/06/21 16:20:56	31.1 oC
03/06/21 16:20:57	29.8 oC
03/06/21 16:20:57	30.8 oC
03/06/21 16:20:57	30.9 oC
03/06/21 16:20:57	30.5 oC
03/06/21 16:20:57	30.8 oC
03/06/21 16:20:57	30.4 oC
03/06/21 16:20:57	30.9 oC
03/06/21 16:20:57	30.9 oC
03/06/21 16:20:58	30.0 oC
03/06/21 16:20:58	29.9 oC
03/06/21 16:20:58	29.4 oC
03/06/21 16:20:58	30.5 oC
03/06/21 16:20:58	30.7 oC
03/06/21 16:20:58	30.5 oC
03/06/21 16:20:58	30.3 oC
03/06/21 16:20:58	30.1 oC
03/06/21 16:20:58	30.0 oC
03/06/21 16:20:59	30.4 oC
03/06/21 16:20:59	31.1 oC
03/06/21 16:20:59	31.9 oC
03/06/21 16:20:59	30.4 oC
03/06/21 16:20:59	31.8 oC
03/06/21 16:20:59	31.0 oC
03/06/21 16:20:59	30.5 oC
